NOAA/GMD balloon flight data file

SkySonde Client Version:, 1.1.1.8
Balloon Flight Name:, flp02
Attached Instruments:, Radiosonde
Station Name:, FabricaForno
Station Latitude:, -16.48428
Station Longitude:, -68.14620
Station Altitude:, 3736.00 [m]
Station Pressure:, 645.43 [mb]
Station Temperature:, 2.500 [deg C]
Station Humidity:, 29.590 [% RH]
Radiosonde Serial Number / ID:, 44591
Pressure/Altitude Source:, iMet Radiosonde
Solar Radiation Correction:, Yes

date [d-m-y GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min]
26-07-2023, 07:08:41, 465, 25721.465, 6.52454, 3.7351, 651.12, 2.61, 2.61, 28.59, -12.36, 22.53, 5.1, 311.763, 22.55, 2.61, -0.03, 3248.06, 0.000, -16.48427, -68.14619, 3.7380, 10, 645.27, 0.03, 62.46, -0.10, 0.00, 0.00, 0.00, 11:09:26, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:42, 475, 25722.475, 6.54138, 3.7351, 651.12, 2.57, 2.57, 28.40, -12.46, 22.53, 5.1, 311.718, 22.55, 2.57, -0.03, 3217.21, 0.000, -16.48427, -68.14619, 3.7380, 10, 645.27, 0.00, 62.46, -0.10, 0.00, 0.00, 0.00, 11:09:27, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:43, 475, 25723.475, 6.55804, 3.7351, 651.12, 2.50, 2.50, 28.48, -12.49, 22.53, 5.1, 311.638, 22.55, 2.50, -0.03, 3210.22, 0.000, -16.48427, -68.14619, 3.7390, 10, 645.19, 0.03, 62.46, -0.07, 0.00, 0.00, 0.00, 11:09:28, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:44, 475, 25724.475, 6.57471, 3.7354, 651.10, 2.49, 2.49, 28.48, -12.50, 22.52, 5.1, 311.630, 22.56, 2.49, 0.00, 3208.02, 0.000, -16.48427, -68.14619, 3.7390, 10, 645.19, 0.11, 255.39, -0.07, 0.00, 0.00, 0.00, 11:09:29, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:45, 485, 25725.485, 6.59154, 3.7353, 651.11, 2.53, 2.53, 28.23, -12.56, 22.53, 5.1, 311.674, 22.56, 2.53, -0.02, 3188.82, 0.000, -16.48427, -68.14619, 3.7390, 10, 645.19, 0.11, 255.39, -0.07, 0.00, 0.00, 0.00, 11:09:30, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:46, 475, 25726.475, 6.60804, 3.7354, 651.10, 2.50, 2.50, 28.31, -12.55, 22.53, 5.1, 311.641, 22.56, 2.50, 0.00, 3191.09, 0.000, -16.48427, -68.14619, 3.7390, 10, 645.19, 0.03, 255.39, -0.07, 0.00, 0.00, 0.00, 11:09:31, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:47, 465, 25727.465, 6.62454, 3.7355, 651.09, 2.54, 2.54, 28.29, -12.53, 22.53, 5.1, 311.688, 22.56, 2.54, -0.01, 3198.00, 0.000, -16.48427, -68.14619, 3.7390, 10, 645.19, 0.03, 255.39, -0.07, 0.00, 0.00, 0.00, 11:09:32, 57.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:48, 445, 25728.445, 6.64088, 3.7355, 651.09, 2.54, 2.54, 28.29, -12.53, 22.52, 5.1, 311.688, 22.56, 2.54, -0.01, 3198.00, 0.000, -16.48427, -68.14619, 3.7390, 10, 645.19, 0.03, 255.39, -0.03, 0.00, 0.00, 0.00, 11:09:33, 64.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:49, 495, 25729.495, 6.65838, 3.7355, 651.09, 2.52, 2.52, 28.33, -12.53, 22.54, 5.1, 311.665, 22.57, 2.52, -0.01, 3197.97, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.05, 255.39, -0.03, 0.00, 0.00, 0.00, 11:09:34, 71.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:50, 485, 25730.485, 6.67488, 3.7356, 651.08, 2.47, 2.47, 28.16, -12.64, 22.53, 5.1, 311.610, 22.57, 2.47, 0.00, 3167.43, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.11, 62.46, -0.03, 0.00, 0.00, 0.00, 11:09:35, 51.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:51, 485, 25731.485, 6.69154, 3.7355, 651.09, 2.45, 2.45, 28.12, -12.67, 22.54, 5.1, 311.586, 22.57, 2.45, -0.01, 3158.36, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.13, 51.97, -0.03, 0.00, 0.00, 0.00, 11:09:36, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:52, 485, 25732.485, 6.70821, 3.7355, 651.09, 2.44, 2.44, 28.31, -12.60, 22.55, 5.1, 311.575, 22.58, 2.44, 0.00, 3177.50, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 51.97, -0.03, 0.00, 0.00, 0.00, 11:09:37, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:53, 465, 25733.465, 6.72454, 3.7356, 651.08, 2.42, 2.42, 28.18, -12.67, 22.53, 5.1, 311.553, 22.58, 2.42, 0.01, 3158.39, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 51.97, -0.03, 0.00, 0.00, 0.00, 11:09:38, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:54, 445, 25734.445, 6.74088, 3.7356, 651.08, 2.44, 2.44, 28.21, -12.64, 22.55, 5.1, 311.576, 22.58, 2.44, 0.02, 3166.28, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 51.97, -0.03, 0.00, 0.00, 0.00, 11:09:39, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:55, 505, 25735.505, 6.75854, 3.7351, 651.12, 2.45, 2.45, 28.29, -12.60, 22.53, 5.1, 311.582, 22.58, 2.45, 0.01, 3177.37, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 51.97, -0.03, 0.00, 0.00, 0.00, 11:09:40, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:56, 495, 25736.495, 6.77504, 3.7350, 651.13, 2.38, 2.38, 28.31, -12.65, 22.55, 5.1, 311.501, 22.59, 2.38, 0.00, 3163.71, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 51.97, -0.03, 0.00, 0.00, 0.00, 11:09:41, 88.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:57, 485, 25737.485, 6.79154, 3.7348, 651.15, 2.42, 2.42, 28.45, -12.56, 22.54, 5.1, 311.544, 22.59, 2.42, -0.02, 3188.41, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 51.97, 0.00, 0.00, 0.00, 0.00, 11:09:42, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:58, 475, 25738.475, 6.80804, 3.7346, 651.16, 2.45, 2.45, 28.54, -12.50, 22.55, 5.1, 311.576, 22.59, 2.45, -0.01, 3205.34, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.13, 308.03, 0.00, 0.00, 0.00, 0.00, 11:09:43, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:08:59, 455, 25739.455, 6.82438, 3.7348, 651.15, 2.53, 2.53, 28.67, -12.39, 22.55, 5.1, 311.668, 22.59, 2.53, 0.00, 3238.48, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.11, 297.54, 0.00, 0.00, 0.00, 0.00, 11:09:44, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:00, 485, 25740.485, 6.84154, 3.7349, 651.14, 2.55, 2.55, 28.48, -12.45, 22.55, 5.1, 311.692, 22.59, 2.55, 0.00, 3221.60, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.05, 297.54, 0.00, 0.00, 0.00, 0.00, 11:09:45, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:01, 485, 25741.485, 6.85821, 3.7353, 651.11, 2.54, 2.54, 28.34, -12.51, 22.55, 5.1, 311.685, 22.60, 2.54, 0.02, 3203.57, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.05, 297.54, 0.00, 0.00, 0.00, 0.00, 11:09:46, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:02, 465, 25742.465, 6.87454, 3.7358, 651.07, 2.55, 2.55, 28.12, -12.59, 22.56, 5.1, 311.702, 22.60, 2.55, 0.03, 3181.09, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.08, 297.54, 0.03, 0.00, 0.00, 0.00, 11:09:47, 105.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:03, 455, 25743.455, 6.89104, 3.7356, 651.08, 2.52, 2.52, 28.20, -12.58, 22.56, 5.1, 311.666, 22.60, 2.52, 0.03, 3183.29, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.05, 297.54, 0.00, 0.00, 0.00, 0.00, 11:09:48, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:04, 455, 25744.455, 6.90771, 3.7356, 651.08, 2.57, 2.57, 28.26, -12.52, 22.56, 5.1, 311.723, 22.61, 2.57, 0.02, 3201.49, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:09:49, 88.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:05, 485, 25745.485, 6.92488, 3.7355, 651.09, 2.59, 2.59, 28.34, -12.47, 22.55, 5.1, 311.744, 22.61, 2.59, 0.01, 3215.12, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.03, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:50, 88.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:06, 485, 25746.485, 6.94154, 3.7356, 651.08, 2.63, 2.63, 28.12, -12.53, 22.57, 5.1, 311.791, 22.61, 2.63, 0.01, 3199.25, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.05, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:51, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:07, 475, 25747.475, 6.95804, 3.7356, 651.08, 2.59, 2.59, 28.04, -12.59, 22.57, 5.1, 311.746, 22.62, 2.59, 0.01, 3181.03, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.05, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:52, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:08, 465, 25748.465, 6.97454, 3.7354, 651.10, 2.61, 2.61, 28.11, -12.55, 22.57, 5.1, 311.765, 22.62, 2.61, 0.00, 3193.45, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.05, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:53, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:09, 445, 25749.445, 6.99088, 3.7356, 651.08, 2.64, 2.64, 28.01, -12.56, 22.56, 5.1, 311.802, 22.62, 2.64, 0.01, 3188.97, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.05, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:54, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:10, 475, 25750.475, 7.00804, 3.7356, 651.08, 2.65, 2.65, 28.16, -12.49, 22.56, 5.1, 311.813, 22.61, 2.65, 0.02, 3208.39, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.08, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:55, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:11, 465, 25751.465, 7.02454, 3.7358, 651.07, 2.66, 2.66, 28.19, -12.47, 22.57, 5.1, 311.826, 22.62, 2.66, 0.02, 3214.16, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.05, 297.54, 0.07, 0.00, 0.00, 0.00, 11:09:56, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:12, 465, 25752.465, 7.04121, 3.7355, 651.09, 2.67, 2.67, 28.39, -12.39, 22.57, 5.1, 311.835, 22.62, 2.67, 0.01, 3239.24, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.03, 297.54, 0.03, 0.00, 0.00, 0.00, 11:09:57, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:13, 465, 25753.465, 7.05788, 3.7358, 651.07, 2.70, 2.70, 28.31, -12.40, 22.57, 5.1, 311.871, 22.62, 2.70, 0.01, 3237.10, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.03, 297.54, 0.00, 0.00, 0.00, 0.00, 11:09:58, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:14, 465, 25754.465, 7.07454, 3.7359, 651.06, 2.71, 2.71, 27.97, -12.52, 22.58, 5.1, 311.884, 22.62, 2.71, 0.02, 3200.43, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:09:59, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:15, 465, 25755.465, 7.09121, 3.7358, 651.07, 2.67, 2.67, 28.17, -12.47, 22.57, 5.1, 311.837, 22.62, 2.67, 0.01, 3214.16, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:00, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:16, 445, 25756.445, 7.10754, 3.7359, 651.06, 2.61, 2.61, 28.00, -12.59, 22.57, 5.1, 311.771, 22.62, 2.61, 0.01, 3181.11, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:01, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:17, 475, 25757.475, 7.12471, 3.7360, 651.05, 2.62, 2.62, 28.02, -12.57, 22.58, 5.1, 311.784, 22.62, 2.62, 0.02, 3185.71, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:02, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:18, 455, 25758.455, 7.14104, 3.7358, 651.07, 2.60, 2.60, 27.99, -12.60, 22.58, 5.1, 311.758, 22.63, 2.60, 0.01, 3177.65, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:03, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:19, 475, 25759.475, 7.15804, 3.7358, 651.07, 2.63, 2.63, 28.03, -12.56, 22.58, 5.1, 311.792, 22.63, 2.63, 0.00, 3189.02, 0.000, -16.48428, -68.14619, 3.7410, 10, 645.03, 0.00, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:04, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:20, 465, 25760.465, 7.17454, 3.7358, 651.07, 2.58, 2.58, 28.28, -12.50, 22.58, 5.1, 311.736, 22.63, 2.58, 0.01, 3206.10, 0.000, -16.48428, -68.14619, 3.7420, 10, 644.95, 0.00, 297.54, 0.10, 0.00, 0.00, 0.00, 11:10:05, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:21, 455, 25761.455, 7.19104, 3.7360, 651.05, 2.58, 2.58, 28.31, -12.49, 22.58, 5.1, 311.738, 22.63, 2.58, 0.02, 3209.61, 0.000, -16.48428, -68.14619, 3.7410, 9, 645.03, 0.00, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:06, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:22, 465, 25762.465, 7.20788, 3.7359, 651.06, 2.62, 2.62, 28.42, -12.42, 22.59, 5.1, 311.782, 22.64, 2.62, 0.01, 3231.28, 0.000, -16.48428, -68.14619, 3.7410, 9, 645.03, 0.00, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:07, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:23, 465, 25763.465, 7.22454, 3.7359, 651.06, 2.63, 2.63, 28.42, -12.41, 22.60, 5.1, 311.794, 22.64, 2.63, 0.01, 3233.59, 0.000, -16.48428, -68.14619, 3.7410, 9, 645.03, 0.00, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:08, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:24, 445, 25764.445, 7.24088, 3.7358, 651.07, 2.71, 2.71, 28.40, -12.35, 22.60, 5.1, 311.883, 22.64, 2.71, 0.02, 3249.74, 0.000, -16.48428, -68.14619, 3.7410, 9, 645.03, 0.03, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:09, 88.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:25, 485, 25765.485, 7.25821, 3.7359, 651.06, 2.75, 2.75, 28.43, -12.31, 22.59, 5.1, 311.929, 22.64, 2.75, 0.03, 3262.52, 0.000, -16.48428, -68.14619, 3.7410, 9, 645.03, 0.03, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:10, 88.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:26, 485, 25766.485, 7.27488, 3.7358, 651.07, 2.70, 2.70, 28.84, -12.19, 22.59, 5.1, 311.871, 22.65, 2.70, 0.03, 3297.90, 0.000, -16.48428, -68.14619, 3.7410, 9, 645.03, 0.05, 297.54, 0.07, 0.00, 0.00, 0.00, 11:10:11, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:27, 475, 25767.475, 7.29138, 3.7359, 651.06, 2.78, 2.78, 29.22, -11.98, 22.60, 5.1, 311.963, 22.65, 2.78, 0.04, 3360.66, 0.000, -16.48428, -68.14619, 3.7400, 9, 645.11, 0.05, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:12, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:28, 475, 25768.475, 7.30804, 3.7355, 651.09, 2.82, 2.82, 29.17, -11.97, 22.60, 5.1, 312.004, 22.65, 2.82, 0.03, 3364.31, 0.000, -16.48428, -68.14619, 3.7400, 9, 645.11, 0.05, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:13, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:29, 455, 25769.455, 7.32438, 3.7358, 651.07, 2.80, 2.80, 28.61, -12.20, 22.59, 5.1, 311.984, 22.65, 2.80, 0.03, 3294.91, 0.000, -16.48428, -68.14619, 3.7400, 9, 645.11, 0.05, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:14, 97.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:30, 485, 25770.485, 7.34154, 3.7356, 651.08, 2.74, 2.74, 28.50, -12.29, 22.60, 5.1, 311.915, 22.65, 2.74, 0.01, 3268.15, 0.000, -16.48428, -68.14619, 3.7400, 9, 645.11, 0.00, 297.54, 0.03, 0.00, 0.00, 0.00, 11:10:15, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:31, 495, 25771.495, 7.35838, 3.7359, 651.06, 2.75, 2.75, 28.82, -12.16, 22.60, 5.1, 311.929, 22.65, 2.75, 0.00, 3307.43, 0.000, -16.48428, -68.14619, 3.7400, 10, 645.11, 0.00, 297.54, 0.00, 0.00, 0.00, 0.00, 11:10:16, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:32, 445, 25772.445, 7.37421, 3.7358, 651.07, 2.74, 2.74, 28.63, -12.24, 22.59, 5.1, 311.917, 22.65, 2.74, 0.00, 3283.16, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.05, 297.54, 0.00, 0.00, 0.00, 0.00, 11:10:17, 71.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:33, 425, 25773.425, 7.39054, 3.7358, 651.07, 2.71, 2.71, 28.78, -12.21, 22.60, 5.1, 311.883, 22.66, 2.71, 0.00, 3293.37, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.05, 297.54, 0.00, 0.00, 0.00, 0.00, 11:10:18, 71.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:34, 425, 25774.425, 7.40721, 3.7358, 651.07, 2.66, 2.66, 28.95, -12.18, 22.61, 5.1, 311.826, 22.66, 2.66, 0.01, 3301.09, 0.000, -16.48428, -68.14619, 3.7390, 10, 645.19, 0.08, 297.54, -0.03, 0.00, 0.00, 0.00, 11:10:19, 71.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:35, 495, 25775.495, 7.42504, 3.7356, 651.08, 2.69, 2.69, 29.19, -12.06, 22.61, 5.1, 311.859, 22.67, 2.69, 0.00, 3335.63, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.05, 297.54, -0.07, 0.00, 0.00, 0.00, 11:10:20, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:36, 435, 25776.435, 7.44071, 3.7355, 651.09, 2.70, 2.70, 29.36, -11.99, 22.61, 5.1, 311.869, 22.67, 2.70, 0.00, 3357.46, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.05, 297.54, -0.07, 0.00, 0.00, 0.00, 11:10:21, 79.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:37, 435, 25777.435, 7.45738, 3.7353, 651.11, 2.70, 2.70, 29.08, -12.10, 22.61, 5.1, 311.866, 22.67, 2.70, 0.00, 3325.23, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.11, 117.54, -0.07, 0.00, 0.00, 0.00, 11:10:22, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:38, 425, 25778.425, 7.47388, 3.7351, 651.12, 2.72, 2.72, 29.15, -12.06, 22.61, 5.1, 311.887, 22.68, 2.72, -0.02, 3337.97, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.10, 90.00, -0.07, 0.00, 0.00, 0.00, 11:10:23, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:39, 475, 25779.475, 7.49138, 3.7353, 651.11, 2.79, 2.79, 29.35, -11.92, 22.62, 5.1, 311.968, 22.68, 2.79, -0.01, 3377.81, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.10, 90.00, -0.07, 0.00, 0.00, 0.00, 11:10:24, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:40, 465, 25780.465, 7.50788, 3.7351, 651.12, 2.73, 2.73, 29.31, -11.99, 22.61, 5.1, 311.898, 22.68, 2.73, -0.02, 3358.75, 0.000, -16.48428, -68.14619, 3.7370, 10, 645.35, 0.11, 75.39, -0.10, 0.00, 0.00, 0.00, 11:10:25, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:41, 465, 25781.465, 7.52454, 3.7351, 651.12, 2.71, 2.71, 28.97, -12.13, 22.62, 5.1, 311.876, 22.68, 2.71, -0.01, 3314.93, 0.000, -16.48428, -68.14619, 3.7370, 9, 645.35, 0.11, 75.39, -0.10, 0.00, 0.00, 0.00, 11:10:26, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:42, 445, 25782.445, 7.54088, 3.7354, 651.10, 2.69, 2.69, 29.31, -12.02, 22.62, 5.1, 311.856, 22.68, 2.69, -0.01, 3349.28, 0.000, -16.48428, -68.14619, 3.7370, 9, 645.35, 0.11, 75.39, -0.07, 0.00, 0.00, 0.00, 11:10:27, 66.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:43, 475, 25783.475, 7.55804, 3.7353, 651.11, 2.65, 2.65, 29.70, -11.90, 22.62, 5.1, 311.809, 22.68, 2.65, -0.02, 3384.28, 0.000, -16.48428, -68.14619, 3.7370, 9, 645.35, 0.11, 75.39, -0.10, 0.00, 0.00, 0.00, 11:10:28, 86.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:44, 465, 25784.465, 7.57454, 3.7353, 651.11, 2.66, 2.66, 29.31, -12.04, 22.62, 5.1, 311.821, 22.69, 2.66, -0.02, 3342.08, 0.000, -16.48428, -68.14619, 3.7370, 9, 645.35, 0.11, 75.39, -0.10, 0.00, 0.00, 0.00, 11:10:29, 86.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:45, 465, 25785.465, 7.59121, 3.7354, 651.10, 2.63, 2.63, 29.07, -12.16, 22.63, 5.1, 311.788, 22.69, 2.63, -0.02, 3307.59, 0.000, -16.48428, -68.14619, 3.7370, 9, 645.35, 0.05, 75.39, -0.10, 0.00, 0.00, 0.00, 11:10:30, 106.2, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:46, 455, 25786.455, 7.60771, 3.7356, 651.08, 2.64, 2.64, 28.82, -12.25, 22.63, 5.1, 311.802, 22.69, 2.64, -0.01, 3281.49, 0.000, -16.48428, -68.14619, 3.7380, 9, 645.27, 0.08, 75.39, -0.07, 0.00, 0.00, 0.00, 11:10:31, 123.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:09:47, 455, 25787.455, 7.62438, 3.7356, 651.08, 2.66, 2.66, 28.59, -12.32, 22.63, 5.1, 311.825, 22.70, 2.66, 0.00, 3259.86, 0.000, -16.48429, -68.14619, 3.7380, 9, 645.27, 0.15, 316.20, -0.07, 0.00, 0.00, 0.00, 11:10:32, 113.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
