NOAA/GMD balloon flight data file

SkySonde Client Version:, 1.1.1.8
Balloon Flight Name:, es202
Attached Instruments:, Radiosonde
Station Name:, esc
Station Latitude:, -16.62305
Station Longitude:, -68.12965
Station Altitude:, 4025.00 [m]
Station Pressure:, 646.38 [mb]
Station Temperature:, 10.000 [deg C]
Station Humidity:, 35.320 [% RH]
Radiosonde Serial Number / ID:, 44579
Pressure/Altitude Source:, iMet Radiosonde
Solar Radiation Correction:, Yes

date [d-m-y GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min]
26-07-2023, 19:02:35, 126, 68555.126, 4.69851, 4.2830, 608.13, 0.91, 1.10, 22.00, -16.54, 14.15, 5.4, 315.957, 14.50, 1.10, -0.01, 2367.85, 0.000, -16.39713, -68.10402, 4.2870, 8, 625.66, 0.10, 270.00, 0.03, 0.00, 0.00, 0.00, 11:03:02, 114.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:36, 126, 68556.126, 4.71517, 4.2831, 608.12, 1.02, 1.21, 21.71, -16.60, 14.14, 5.4, 316.085, 14.50, 1.21, -0.01, 2355.24, 0.000, -16.39713, -68.10402, 4.2880, 8, 625.59, 0.12, 242.47, 0.07, 0.00, 0.00, 0.00, 11:03:03, 114.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:37, 146, 68557.146, 4.73217, 4.2835, 608.09, 1.10, 1.29, 21.58, -16.60, 14.15, 5.4, 316.182, 14.51, 1.29, 0.01, 2354.78, 0.000, -16.39713, -68.10402, 4.2880, 8, 625.59, 0.13, 231.98, 0.10, 0.00, 0.00, 0.00, 11:03:04, 113.9, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:38, 86, 68558.086, 4.74784, 4.2831, 608.12, 1.20, 1.39, 21.63, -16.50, 14.15, 5.4, 316.293, 14.51, 1.39, 0.00, 2377.22, 0.000, -16.39713, -68.10403, 4.2880, 8, 625.59, 0.11, 180.00, 0.07, 0.00, 0.00, 0.00, 11:03:05, 114.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:39, 136, 68559.136, 4.76534, 4.2836, 608.08, 1.47, 1.66, 21.48, -16.37, 14.15, 5.4, 316.610, 14.52, 1.66, 0.02, 2407.21, 0.000, -16.39713, -68.10403, 4.2890, 8, 625.51, 0.17, 142.50, 0.10, 0.00, 0.00, 0.00, 11:03:06, 114.2, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:40, 126, 68560.126, 4.78184, 4.2832, 608.11, 1.48, 1.67, 21.37, -16.41, 14.16, 5.4, 316.617, 14.52, 1.67, 0.00, 2396.46, 0.000, -16.39713, -68.10403, 4.2890, 7, 625.51, 0.19, 147.40, 0.10, 0.00, 0.00, 0.00, 11:03:07, 113.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:41, 146, 68561.146, 4.79884, 4.2831, 608.12, 1.46, 1.65, 21.34, -16.44, 14.16, 5.4, 316.593, 14.52, 1.65, 0.00, 2389.61, 0.000, -16.39713, -68.10403, 4.2890, 7, 625.51, 0.24, 123.08, 0.10, 0.00, 0.00, 0.00, 11:03:08, 114.1, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:42, 126, 68562.126, 4.81517, 4.2831, 608.12, 1.39, 1.58, 21.35, -16.49, 14.18, 5.4, 316.512, 14.53, 1.58, 0.01, 2378.72, 0.000, -16.39713, -68.10403, 4.2890, 7, 625.51, 0.17, 142.50, 0.07, 0.00, 0.00, 0.00, 11:03:09, 113.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:43, 146, 68563.146, 4.83217, 4.2827, 608.15, 1.36, 1.55, 21.51, -16.44, 14.17, 5.4, 316.473, 14.53, 1.55, -0.01, 2391.30, 0.000, -16.39713, -68.10403, 4.2900, 7, 625.43, 0.15, 136.19, 0.10, 0.00, 0.00, 0.00, 11:03:10, 113.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:44, 106, 68564.106, 4.84817, 4.2828, 608.14, 1.33, 1.52, 21.46, -16.48, 14.17, 5.4, 316.440, 14.54, 1.52, 0.00, 2380.62, 0.000, -16.39713, -68.10403, 4.2900, 7, 625.43, 0.13, 128.02, 0.10, 0.00, 0.00, 0.00, 11:03:11, 113.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:45, 106, 68565.106, 4.86484, 4.2828, 608.14, 1.39, 1.58, 21.75, -16.29, 14.17, 5.4, 316.509, 14.54, 1.58, 0.01, 2423.32, 0.000, -16.39714, -68.10402, 4.2900, 7, 625.43, 0.08, 128.02, 0.10, 0.00, 0.00, 0.00, 11:03:12, 115.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:47, 146, 68567.146, 4.89884, 4.2827, 608.15, 1.45, 1.64, 21.83, -16.21, 14.19, 5.4, 316.577, 14.55, 1.64, 0.01, 2442.74, 0.000, -16.39714, -68.10402, 4.2890, 7, 625.51, 0.15, 322.50, 0.07, 0.00, 0.00, 0.00, 11:03:14, 116.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:48, 146, 68568.146, 4.91551, 4.2824, 608.17, 1.34, 1.53, 21.73, -16.34, 14.18, 5.4, 316.447, 14.55, 1.53, 0.00, 2412.26, 0.000, -16.39714, -68.10402, 4.2880, 7, 625.59, 0.15, 322.50, 0.03, 0.00, 0.00, 0.00, 11:03:15, 115.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:49, 146, 68569.146, 4.93217, 4.2822, 608.19, 1.18, 1.37, 21.63, -16.52, 14.20, 5.4, 316.259, 14.56, 1.37, 0.00, 2373.53, 0.000, -16.39714, -68.10402, 4.2880, 7, 625.59, 0.19, 331.27, 0.07, 0.00, 0.00, 0.00, 11:03:16, 116.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:50, 146, 68570.146, 4.94884, 4.2820, 608.20, 1.15, 1.34, 21.63, -16.54, 14.20, 5.4, 316.223, 14.56, 1.34, -0.01, 2368.36, 0.000, -16.39714, -68.10402, 4.2880, 8, 625.59, 0.28, 319.54, 0.07, 0.00, 0.00, 0.00, 11:03:17, 116.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:51, 96, 68571.096, 4.96467, 4.2824, 608.17, 1.07, 1.26, 21.79, -16.52, 14.20, 5.4, 316.136, 14.57, 1.26, -0.01, 2372.31, 0.000, -16.39714, -68.10402, 4.2870, 8, 625.66, 0.23, 336.91, 0.03, 0.00, 0.00, 0.00, 11:03:18, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:52, 46, 68572.046, 4.98051, 4.2831, 608.12, 1.10, 1.29, 21.60, -16.59, 14.20, 5.4, 316.178, 14.57, 1.29, 0.00, 2356.87, 0.000, -16.39714, -68.10402, 4.2880, 8, 625.59, 0.21, 334.37, 0.07, 0.00, 0.00, 0.00, 11:03:19, 116.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:53, 96, 68573.096, 4.99801, 4.2832, 608.11, 0.99, 1.18, 21.44, -16.76, 14.21, 5.4, 316.052, 14.57, 1.18, 0.01, 2320.90, 0.000, -16.39714, -68.10402, 4.2890, 8, 625.51, 0.21, 334.37, 0.07, 0.00, 0.00, 0.00, 11:03:20, 116.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:54, 96, 68574.096, 5.01467, 4.2834, 608.10, 0.94, 1.13, 21.44, -16.80, 14.22, 5.4, 315.996, 14.57, 1.13, 0.03, 2312.57, 0.000, -16.39714, -68.10402, 4.2890, 8, 625.51, 0.07, 334.37, 0.03, 0.00, 0.00, 0.00, 11:03:21, 116.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:55, 106, 68575.106, 5.03151, 4.2832, 608.11, 0.84, 1.03, 21.53, -16.83, 14.22, 5.4, 315.879, 14.58, 1.03, 0.03, 2305.54, 0.000, -16.39714, -68.10402, 4.2880, 8, 625.59, 0.05, 334.37, 0.00, 0.00, 0.00, 0.00, 11:03:22, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:56, 96, 68576.096, 5.04801, 4.2830, 608.13, 0.76, 0.95, 21.53, -16.89, 14.23, 5.4, 315.784, 14.59, 0.95, 0.03, 2292.16, 0.000, -16.39715, -68.10402, 4.2880, 8, 625.59, 0.11, 0.00, 0.03, 0.00, 0.00, 0.00, 11:03:23, 117.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:57, 96, 68577.096, 5.06467, 4.2830, 608.13, 0.86, 1.05, 21.56, -16.80, 14.22, 5.4, 315.899, 14.59, 1.05, 0.00, 2312.03, 0.000, -16.39714, -68.10402, 4.2880, 8, 625.59, 0.05, 0.00, 0.07, 0.00, 0.00, 0.00, 11:03:24, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:58, 46, 68578.046, 5.08051, 4.2823, 608.18, 0.88, 1.07, 21.53, -16.80, 14.23, 5.4, 315.915, 14.59, 1.07, 0.00, 2311.95, 0.000, -16.39714, -68.10401, 4.2890, 8, 625.51, 0.10, 270.00, 0.10, 0.00, 0.00, 0.00, 11:03:25, 115.9, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:02:59, 86, 68579.086, 5.09784, 4.2824, 608.17, 0.93, 1.12, 22.04, -16.51, 14.24, 5.4, 315.974, 14.60, 1.12, -0.01, 2375.46, 0.000, -16.39715, -68.10402, 4.2880, 8, 625.59, 0.03, 270.00, 0.07, 0.00, 0.00, 0.00, 11:03:26, 117.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:00, 36, 68580.036, 5.11367, 4.2834, 608.10, 0.95, 1.14, 22.31, -16.36, 14.23, 5.4, 316.008, 14.60, 1.14, 0.03, 2408.38, 0.000, -16.39715, -68.10403, 4.2870, 8, 625.66, 0.15, 43.81, 0.03, 0.00, 0.00, 0.00, 11:03:27, 119.6, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:01, 96, 68581.096, 5.13134, 4.2836, 608.08, 1.02, 1.21, 21.63, -16.64, 14.24, 5.4, 316.091, 14.60, 1.21, 0.03, 2346.71, 0.000, -16.39715, -68.10402, 4.2870, 8, 625.66, 0.13, 0.00, 0.03, 0.00, 0.00, 0.00, 11:03:28, 119.1, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:02, 46, 68582.046, 5.14717, 4.2835, 608.09, 1.02, 1.21, 21.63, -16.64, 14.24, 5.4, 316.090, 14.61, 1.21, 0.04, 2346.67, 0.000, -16.39715, -68.10401, 4.2880, 8, 625.59, 0.19, 327.40, 0.03, 0.00, 0.00, 0.00, 11:03:29, 118.6, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:03, 106, 68583.106, 5.16484, 4.2828, 608.14, 1.05, 1.24, 21.71, -16.58, 14.26, 5.4, 316.117, 14.62, 1.24, 0.01, 2360.29, 0.000, -16.39716, -68.10401, 4.2880, 8, 625.59, 0.19, 327.40, 0.03, 0.00, 0.00, 0.00, 11:03:30, 119.1, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:04, 106, 68584.106, 5.18151, 4.2834, 608.10, 1.04, 1.23, 21.68, -16.60, 14.26, 5.4, 316.111, 14.62, 1.23, 0.02, 2355.48, 0.000, -16.39716, -68.10401, 4.2870, 8, 625.66, 0.17, 322.50, 0.00, 0.00, 0.00, 0.00, 11:03:31, 119.1, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:05, 46, 68585.046, 5.19717, 4.2834, 608.10, 1.03, 1.22, 22.01, -16.44, 14.26, 5.4, 316.100, 14.63, 1.22, 0.01, 2389.69, 0.000, -16.39715, -68.10400, 4.2880, 8, 625.59, 0.23, 297.53, 0.03, 0.00, 0.00, 0.00, 11:03:32, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:06, 106, 68586.106, 5.21484, 4.2830, 608.13, 1.02, 1.21, 23.74, -15.64, 14.26, 5.4, 316.084, 14.63, 1.21, 0.00, 2576.02, 0.000, -16.39715, -68.10400, 4.2880, 8, 625.59, 0.13, 308.02, 0.00, 0.00, 0.00, 0.00, 11:03:33, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:07, 56, 68587.056, 5.23067, 4.2830, 608.13, 0.89, 1.08, 23.05, -16.06, 14.27, 5.4, 315.934, 14.64, 1.08, -0.02, 2477.58, 0.000, -16.39715, -68.10400, 4.2880, 8, 625.59, 0.21, 284.61, 0.00, 0.00, 0.00, 0.00, 11:03:34, 116.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:08, 86, 68588.086, 5.24784, 4.2823, 608.18, 0.71, 0.90, 22.16, -16.62, 14.27, 5.4, 315.719, 14.64, 0.90, -0.03, 2350.68, 0.000, -16.39715, -68.10400, 4.2890, 8, 625.51, 0.31, 265.04, 0.03, 0.00, 0.00, 0.00, 11:03:35, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:09, 36, 68589.036, 5.26367, 4.2824, 608.17, 0.84, 1.03, 22.19, -16.50, 14.27, 5.4, 315.871, 14.64, 1.03, -0.04, 2376.16, 0.000, -16.39715, -68.10400, 4.2890, 8, 625.51, 0.21, 255.39, 0.00, 0.00, 0.00, 0.00, 11:03:36, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:10, 96, 68590.096, 5.28134, 4.2831, 608.12, 0.95, 1.14, 21.56, -16.73, 14.28, 5.4, 316.005, 14.65, 1.14, 0.00, 2327.16, 0.000, -16.39715, -68.10400, 4.2890, 8, 625.51, 0.13, 231.98, 0.00, 0.00, 0.00, 0.00, 11:03:37, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:11, 46, 68591.046, 5.29717, 4.2830, 608.13, 1.05, 1.24, 21.33, -16.77, 14.28, 5.4, 316.119, 14.66, 1.24, 0.00, 2318.92, 0.000, -16.39715, -68.10400, 4.2880, 8, 625.59, 0.15, 223.81, -0.03, 0.00, 0.00, 0.00, 11:03:38, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:12, 56, 68592.056, 5.31401, 4.2828, 608.14, 1.17, 1.36, 21.27, -16.70, 14.29, 5.4, 316.255, 14.66, 1.36, -0.01, 2332.46, 0.000, -16.39715, -68.10400, 4.2870, 8, 625.66, 0.15, 223.81, -0.07, 0.00, 0.00, 0.00, 11:03:39, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:13, 26, 68593.026, 5.33017, 4.2832, 608.11, 1.15, 1.34, 21.35, -16.68, 14.29, 5.4, 316.237, 14.67, 1.34, 0.02, 2337.99, 0.000, -16.39715, -68.10400, 4.2880, 8, 625.59, 0.05, 223.81, -0.07, 0.00, 0.00, 0.00, 11:03:40, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:14, 106, 68594.106, 5.34817, 4.2834, 608.10, 1.07, 1.26, 21.35, -16.74, 14.29, 5.4, 316.146, 14.67, 1.26, 0.02, 2324.57, 0.000, -16.39715, -68.10400, 4.2870, 8, 625.66, 0.03, 223.81, -0.10, 0.00, 0.00, 0.00, 11:03:41, 116.0, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:15, 46, 68595.046, 5.36384, 4.2835, 608.09, 1.06, 1.25, 21.32, -16.76, 14.30, 5.4, 316.136, 14.67, 1.25, 0.02, 2319.66, 0.000, -16.39715, -68.10401, 4.2870, 8, 625.66, 0.11, 117.53, -0.10, 0.00, 0.00, 0.00, 11:03:42, 116.8, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:16, 46, 68596.046, 5.38051, 4.2842, 608.04, 0.99, 1.18, 21.31, -16.82, 14.30, 5.4, 316.063, 14.68, 1.18, 0.05, 2307.07, 0.000, -16.39715, -68.10401, 4.2870, 8, 625.66, 0.10, 90.00, -0.07, 0.00, 0.00, 0.00, 11:03:43, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:17, 96, 68597.096, 5.39801, 4.2834, 608.10, 1.00, 1.19, 21.29, -16.82, 14.31, 5.4, 316.065, 14.68, 1.19, 0.03, 2306.34, 0.000, -16.39715, -68.10402, 4.2870, 8, 625.66, 0.20, 90.00, -0.03, 0.00, 0.00, 0.00, 11:03:44, 118.2, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:18, 86, 68598.086, 5.41451, 4.2835, 608.09, 1.20, 1.39, 21.31, -16.66, 14.35, 5.4, 316.297, 14.68, 1.39, 0.05, 2342.11, 0.000, -16.39715, -68.10402, 4.2860, 8, 625.74, 0.21, 97.42, -0.07, 0.00, 0.00, 0.00, 11:03:45, 117.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:19, 26, 68599.026, 5.43017, 4.2828, 608.14, 1.32, 1.51, 21.15, -16.65, 14.31, 5.4, 316.428, 14.69, 1.51, 0.03, 2344.48, 0.000, -16.39715, -68.10402, 4.2860, 8, 625.74, 0.21, 97.42, -0.07, 0.00, 0.00, 0.00, 11:03:46, 117.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:20, 36, 68600.036, 5.44701, 4.2826, 608.16, 1.35, 1.54, 21.45, -16.47, 14.32, 5.4, 316.460, 14.69, 1.54, 0.00, 2382.88, 0.000, -16.39714, -68.10402, 4.2860, 7, 625.74, 0.21, 104.61, -0.03, 0.00, 0.00, 0.00, 11:03:47, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:21, 86, 68601.086, 5.46451, 4.2826, 608.16, 1.31, 1.50, 21.67, -16.40, 14.32, 5.4, 316.414, 14.70, 1.50, -0.02, 2400.46, 0.000, -16.39714, -68.10402, 4.2860, 7, 625.74, 0.21, 104.61, -0.07, 0.00, 0.00, 0.00, 11:03:48, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:22, 36, 68602.036, 5.48034, 4.2823, 608.18, 1.14, 1.33, 21.56, -16.58, 14.33, 5.4, 316.215, 14.71, 1.33, -0.03, 2359.08, 0.000, -16.39715, -68.10402, 4.2880, 7, 625.59, 0.20, 90.00, -0.03, 0.00, 0.00, 0.00, 11:03:49, 117.7, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:23, 36, 68603.036, 5.49701, 4.2803, 608.33, 1.13, 1.32, 21.41, -16.66, 14.34, 5.4, 316.181, 14.71, 1.32, -0.11, 2340.36, 0.000, -16.39714, -68.10402, 4.2880, 7, 625.59, 0.10, 104.61, -0.03, 0.00, 0.00, 0.00, 11:03:50, 117.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:24, 6, 68604.006, 5.51317, 4.2818, 608.22, 1.19, 1.38, 21.19, -16.73, 14.34, 5.4, 316.267, 14.71, 1.38, -0.05, 2326.73, 0.000, -16.39714, -68.10402, 4.2880, 7, 625.59, 0.15, 136.19, 0.00, 0.00, 0.00, 0.00, 11:03:51, 116.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:25, 56, 68605.056, 5.53067, 4.2826, 608.16, 1.50, 1.69, 21.22, -16.47, 14.33, 5.4, 316.633, 14.72, 1.69, -0.01, 2382.86, 0.000, -16.39714, -68.10402, 4.2890, 7, 625.51, 0.11, 180.00, 0.03, 0.00, 0.00, 0.00, 11:03:52, 116.3, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:26, 106, 68606.106, 5.54817, 4.2830, 608.13, 1.70, 1.89, 21.10, -16.38, 14.34, 5.4, 316.868, 14.74, 1.89, 0.00, 2403.78, 0.000, -16.39714, -68.10401, 4.2900, 7, 625.43, 0.10, 255.39, 0.07, 0.00, 0.00, 0.00, 11:03:53, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:27, 56, 68607.056, 5.56401, 4.2826, 608.16, 1.77, 1.96, 20.93, -16.41, 14.36, 5.4, 316.944, 14.74, 1.96, 0.01, 2396.25, 0.000, -16.39714, -68.10401, 4.2910, 7, 625.35, 0.10, 255.39, 0.07, 0.00, 0.00, 0.00, 11:03:54, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:28, 36, 68608.036, 5.58034, 4.2822, 608.19, 1.64, 1.83, 20.89, -16.54, 14.35, 5.4, 316.790, 14.74, 1.83, -0.01, 2369.33, 0.000, -16.39714, -68.10401, 4.2910, 7, 625.35, 0.10, 255.39, 0.10, 0.00, 0.00, 0.00, 11:03:55, 115.9, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:29, 36, 68609.036, 5.59701, 4.2838, 608.07, 1.56, 1.75, 20.92, -16.58, 14.37, 5.4, 316.716, 14.74, 1.75, 0.01, 2359.61, 0.000, -16.39714, -68.10401, 4.2920, 7, 625.28, 0.12, 242.47, 0.17, 0.00, 0.00, 0.00, 11:03:56, 115.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:30, 56, 68610.056, 5.61401, 4.2840, 608.05, 1.31, 1.50, 21.05, -16.71, 14.36, 5.4, 316.430, 14.75, 1.50, 0.01, 2332.04, 0.000, -16.39714, -68.10401, 4.2920, 8, 625.28, 0.13, 231.98, 0.17, 0.00, 0.00, 0.00, 11:03:56, 115.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:31, 56, 68611.056, 5.63067, 4.2835, 608.09, 1.24, 1.43, 21.11, -16.73, 14.37, 5.4, 316.344, 14.75, 1.43, 0.00, 2326.78, 0.000, -16.39715, -68.10400, 4.2910, 8, 625.35, 0.20, 277.42, 0.10, 0.00, 0.00, 0.00, 11:03:58, 116.0, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:32, 36, 68612.036, 5.64701, 4.2839, 608.06, 1.16, 1.35, 21.32, -16.69, 14.37, 5.4, 316.256, 14.76, 1.35, 0.04, 2336.59, 0.000, -16.39714, -68.10400, 4.2910, 8, 625.35, 0.21, 284.61, 0.10, 0.00, 0.00, 0.00, 11:03:59, 115.5, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:33, 46, 68613.046, 5.66384, 4.2840, 608.05, 1.27, 1.46, 21.28, -16.62, 14.38, 5.4, 316.384, 14.76, 1.46, 0.02, 2350.80, 0.000, -16.39714, -68.10401, 4.2910, 8, 625.35, 0.12, 297.53, 0.14, 0.00, 0.00, 0.00, 11:04:00, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:34, 86, 68614.086, 5.68117, 4.2830, 608.13, 1.62, 1.81, 22.11, -15.94, 14.39, 5.4, 316.776, 14.77, 1.81, -0.01, 2504.69, 0.000, -16.39714, -68.10400, 4.2910, 8, 625.35, 0.11, 242.47, 0.10, 0.00, 0.00, 0.00, 11:04:01, 114.6, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:35, 36, 68615.036, 5.69701, 4.2831, 608.12, 1.84, 2.03, 21.94, -15.85, 14.38, 5.4, 317.031, 14.77, 2.03, 0.00, 2525.00, 0.000, -16.39714, -68.10400, 4.2910, 8, 625.35, 0.13, 231.98, 0.10, 0.00, 0.00, 0.00, 11:04:02, 114.1, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:36, 106, 68616.106, 5.71484, 4.2842, 608.04, 1.80, 1.99, 21.56, -16.07, 14.39, 5.4, 316.997, 14.78, 1.99, 0.04, 2474.38, 0.000, -16.39714, -68.10400, 4.2910, 8, 625.35, 0.11, 284.61, 0.10, 0.00, 0.00, 0.00, 11:04:03, 115.5, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:37, 26, 68617.026, 5.73017, 4.2840, 608.05, 1.74, 1.93, 21.77, -16.01, 14.39, 5.4, 316.926, 14.78, 1.93, 0.06, 2487.75, 0.000, -16.39715, -68.10400, 4.2910, 8, 625.35, 0.15, 316.19, 0.07, 0.00, 0.00, 0.00, 11:04:04, 116.4, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:38, 26, 68618.026, 5.74684, 4.2840, 608.05, 1.56, 1.75, 21.75, -16.16, 14.39, 5.4, 316.719, 14.79, 1.75, 0.05, 2453.53, 0.000, -16.39715, -68.10400, 4.2910, 8, 625.35, 0.13, 308.02, 0.07, 0.00, 0.00, 0.00, 11:04:05, 116.0, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:39, 46, 68619.046, 5.76384, 4.2840, 608.05, 1.35, 1.54, 21.52, -16.44, 14.40, 5.4, 316.476, 14.79, 1.54, 0.03, 2391.12, 0.000, -16.39714, -68.10400, 4.2910, 8, 625.35, 0.03, 308.02, 0.07, 0.00, 0.00, 0.00, 11:04:06, 115.5, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:40, 86, 68620.086, 5.78117, 4.2851, 607.97, 1.18, 1.37, 21.20, -16.73, 14.40, 5.4, 316.292, 14.79, 1.37, 0.07, 2327.10, 0.000, -16.39714, -68.10400, 4.2910, 7, 625.35, 0.00, 308.02, 0.10, 0.00, 0.00, 0.00, 11:04:06, 115.5, 89.7, 0.02, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:41, 36, 68621.036, 5.79701, 4.2844, 608.02, 1.18, 1.37, 21.12, -16.77, 14.41, 5.4, 316.285, 14.80, 1.37, 0.05, 2318.11, 0.000, -16.39714, -68.10400, 4.2910, 7, 625.35, 0.20, 270.00, 0.14, 0.00, 0.00, 0.00, 11:04:08, 114.7, 89.7, 0.03, 0.00000, 0.00000, 0.000
26-07-2023, 19:03:42, 16, 68622.016, 5.81334, 4.2844, 608.02, 1.25, 1.44, 21.36, -16.60, 14.41, 5.4, 316.366, 14.81, 1.44, 0.04, 2356.38, 0.000, -16.39714, -68.10400, 4.2910, 7, 625.35, 0.00, 270.00, 0.10, 0.00, 0.00, 0.00, 11:04:09, 114.6, 89.7, 0.02, 0.00000, 0.00000, 0.000
